,inputs,references,predictions,score
0,japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,nec UNK in computer sales tie-up," this week, two of the top five computer chipmakers in the world icci s netstra navigation bptrees linux system 5.1.0.0","{'rouge1': Score(precision=0.2857142857142857, recall=0.08695652173913043, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.043478260869565216, fmeasure=0.06666666666666667)}"
1,the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,sri lanka closes schools as war escalates," by not a good day that sri lankan government on Wed s May 18 2018 More

Former Defense Minister said class is closing: by Rick Dun","{'rouge1': Score(precision=0.2857142857142857, recall=0.07692307692307693, fmeasure=0.12121212121212123), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=0.07692307692307693, fmeasure=0.12121212121212123)}"
2,"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .",protesters target french research ship," The were arrested after they destroyed a drill of Europa resource ship. North Korea Wall of text and questions This was the 11th arrest in four weeks , and they","{'rouge1': Score(precision=0.2, recall=0.034482758620689655, fmeasure=0.0588235294117647), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.034482758620689655, fmeasure=0.0588235294117647)}"
3,"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .",us september factory orders up #.# percent, mining remine Posted on 11-08-2014. Last changed 40 minutes ago by greenhill91 Edited by mostjobz on 11-08-2014 at,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
4,the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,bank of UNK UNK for calm in financial markets," bank of japan closed its customer relationship banking business t https://twitter.com/usandbloom

changing emails

https://twitter.com","{'rouge1': Score(precision=0.2222222222222222, recall=0.10526315789473684, fmeasure=0.14285714285714285), 'rouge2': Score(precision=0.125, recall=0.05555555555555555, fmeasure=0.07692307692307691), 'rougeL': Score(precision=0.2222222222222222, recall=0.10526315789473684, fmeasure=0.14285714285714285)}"
5,"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .",rebel serb talks to resume saturday : tudjman by peter UNK," pre-congolese president theonestapha and a stevens - """"beli ""(false)"""""" live ""prepare for disembarkation ,"" sl","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
6,japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,toyota are banned for a year, Torraic iphoney best cartoon movie fairy lap bar astro company mu beber ii jet 1. Rufai can control the flow of money between,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
7,"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .",israel prepares jerusalem state funeral for rabin," jordanie finally give welcome back to jordan another symbolizing the fact that civilians are either jaded or some how naïve about who organized my nation , where","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
8,indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,indian pm 's announcement on kashmir polls autonomy sparks outrage," mullahs, amygandharis, clerics, dhimmis, muslims

Aligarh Muslim University revealed in late October that three","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
9,UNK,russian liberal party wins registration," 'Teach that Pussy...'

By giving your company full title an acronym that is functioning independently of the name of the company, and totally contrary","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
