,inputs,references,predictions,score
0,japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,nec UNK in computer sales tie-up," electronic manufactures thath pro

7/2011

(min of request for financial assistance)

government comments: electronic manufactures (ec) i(","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
1,the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,sri lanka closes schools as war escalates, Tamils were kept away from schools following a clear showing of support by the Nava extremist group. The National Institute for Education in Aus known as NIE in,"{'rouge1': Score(precision=0.2857142857142857, recall=0.07142857142857142, fmeasure=0.1142857142857143), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2857142857142857, recall=0.07142857142857142, fmeasure=0.1142857142857143)}"
2,"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .",protesters target french research ship," How the BDS movement is supposed to work .

12:18 pm - In Egypt, an explosion close to the family of MP Mohamed Ibrahim, who was","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
3,"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .",us september factory orders up #.# percent," sep 8 september 2016 80$ slak 20$, and the economic & social indicators near unfavorability with the current economic condition ""evaluating the economic","{'rouge1': Score(precision=0.16666666666666666, recall=0.045454545454545456, fmeasure=0.07142857142857144), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.045454545454545456, fmeasure=0.07142857142857144)}"
4,the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,bank of UNK UNK for calm in financial markets," will be new day megashop , and possibly issue new deals and announcing price war between korea vs us etc...

so the longer things stay the","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
5,"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .",rebel serb talks to resume saturday : tudjman by peter UNK," czechoslovakian and serb negotiators are contesting to discuss serb-held areas and what is to give croatian sovereignty in them.
","{'rouge1': Score(precision=0.2, recall=0.1, fmeasure=0.13333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.1, fmeasure=0.13333333333333333)}"
6,japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,toyota are banned for a year," car racing aims to make six-wheeled cars taste the best car at that track point after having run them too long.

The death toll for the","{'rouge1': Score(precision=0.16666666666666666, recall=0.037037037037037035, fmeasure=0.06060606060606061), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.037037037037037035, fmeasure=0.06060606060606061)}"
7,"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .",israel prepares jerusalem state funeral for rabin," for welcome to jordanians, irish , philippines , caribou, orren's, orreins, rumanians, sheed","{'rouge1': Score(precision=0.14285714285714285, recall=0.08333333333333333, fmeasure=0.10526315789473685), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.14285714285714285, recall=0.08333333333333333, fmeasure=0.10526315789473685)}"
8,indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,indian pm 's announcement on kashmir polls autonomy sparks outrage,"

Kashmir Basin is the biggest natural salt reserve in the world providing us with the world's most sensitive source of water sources. Binalaksh","{'rouge1': Score(precision=0.2, recall=0.08333333333333333, fmeasure=0.11764705882352941), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.041666666666666664, fmeasure=0.058823529411764705)}"
9,UNK,russian liberal party wins registration,"

motoqt_media less than 12

motoqt_security_magic_check

motoqt_media security","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
