,inputs,references,predictions,score
0,japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,nec UNK in computer sales tie-up, the push is pushing for the release of super1- i892 or macrium or another one. u. t. dyberg from steevens,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
1,the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,sri lanka closes schools as war escalates," captain at gaurav life Pathavgrijvat, a girl who committed suicide in lines outside a house was arrested forcibly after her family reported her","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
2,"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .",protesters target french research ship," Accusing them of creating “a public nuisance,” Sturgess said the protesters had disrupted the flow of supplies and that a military detachment had intervened","{'rouge1': Score(precision=0.2, recall=0.041666666666666664, fmeasure=0.06896551724137931), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.041666666666666664, fmeasure=0.06896551724137931)}"
3,"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .",us september factory orders up #.# percent,"

[S/he] bought d compact this morning from mercedes , andthe s/he was at work an hour ago, when news ofa","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
4,the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,bank of UNK UNK for calm in financial markets," the bank of japan raised offers to duval-douchez bank to list but did not approve them ,later after much discussion point to niu","{'rouge1': Score(precision=0.2222222222222222, recall=0.08333333333333333, fmeasure=0.12121212121212122), 'rouge2': Score(precision=0.125, recall=0.043478260869565216, fmeasure=0.06451612903225806), 'rougeL': Score(precision=0.2222222222222222, recall=0.08333333333333333, fmeasure=0.12121212121212122)}"
5,"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .",rebel serb talks to resume saturday : tudjman by peter UNK," the situation in the strip of croatian when copenhagen a summary can be your visit.

56 offers it's for a saturday romania","{'rouge1': Score(precision=0.1, recall=0.043478260869565216, fmeasure=0.06060606060606061), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.043478260869565216, fmeasure=0.06060606060606061)}"
6,japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,toyota are banned for a year," namco and namco/nes limited (rca-socarb) used mobile, washington, dc/p. Kfs on jan-","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
7,"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .",israel prepares jerusalem state funeral for rabin, trump with solid rise in sangat talo3 kritia margtas navikot sinemat ippera ippont koryo day,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
8,indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,indian pm 's announcement on kashmir polls autonomy sparks outrage," .

.

Former parliamentary secretary and still the leader of the BJP Shashi Tharoor: in the e.t.p (oblig","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
9,UNK,russian liberal party wins registration," The actioned lawsuit for personal injury was tossed.

ZIEKIN LINGER

A Quential ice and snow operation in Arctic Circle had","{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
10,"turnout was heavy for parliamentary elections monday in trinidad and tobago after a month of intensive campaigning throughout the country , one of the most prosperous in the caribbean .",trinidad and tobago poll draws heavy turnout by john babb," on 1 march , italy held its second constitutional referendum in 11 years , and it "".3 billion in guinea and .53 billion in ? euro joined in","{'rouge1': Score(precision=0.1, recall=0.04, fmeasure=0.05714285714285714), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.1, recall=0.04, fmeasure=0.05714285714285714)}"
